Part No.,Type,Manufacture,Terrestrial,Flight,TID-Co60,TID-ELDRS,TID-Protons,TID-Electrons,Dose Rate,DD-Protons,DD-Neutrons,Facilities,Standard,Environment,Shielding,SEU_Alpha,SEU_H,"SEU_H,L","SEU_H,N","SEU_H,N,P","SEU_H,P",SEU_L,"SEU_L,H",SEU_N,SEU_P,"SEU_P,Alpha","SEU_P,N","SEU_P,N,Alpha",SEU_e,SET_H,"SET_H,L","SET_H,N","SET_H,P",SET_L,"SET_L,P",SET_N,SET_P,SEFI_H,"SEFI_H,L","SEFI_H,N","SEFI_H,N,P","SEFI_H,P","SEFI_H,P,L",SEFI_N,SEFI_P,"SEFI_P,N",SEL_H,"SEL_H,L","SEL_H,N","SEL_H,P","SEL_H,P,N",SEL_L,SEL_N,SEL_P,"SEL_P,N",SEB_H,"SEB_H,P",SEB_N,SEB_P,SEGR_H,SEGR_N,SEGR_P
LM119,Voltage Comparator,National Semiconductor,Y,,,Y,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LM139,Voltage Comparator,National Semiconductor,Y,,,Y,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT29F2G08B,Flash,Micron,Y,,Y,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54ACTQ04,Hex Inverter,National Semiconductor,Y,,Y,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54ACTQ14,Hex Inverter,National Semiconductor,Y,,Y,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54AC2525,Clock Distributor,National Semiconductor,Y,,Y,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54ACTQ16244,Buffer/Driver,National Semiconductor,Y,,Y,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS26F31,Differential Line Driver,National Semiconductor,Y,,Y,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG1644,Driver,Linfinity,Y,,Y,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2N2222,NPN Transistor,Microsemi,Y,,,Y,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2N2907,PNP Transistor,Microsemi,Y,,,Y,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW06,Analog Switch,Analog Devices,Y,,Y,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
